Breakdown of holdings under the CBPP3*,,,,,
End of Month,Primary market holdings,Share PM,Secondary market holdings,Share SM,Total holdings
Oct-14,0,0.00%,"4,768",100.00%,"4,768"
Nov-14,"4,313",24.23%,"13,488",75.77%,"17,801"
Dec-14,"5,245",17.70%,"24,387",82.30%,"29,632"
Jan-15,"8,063",20.03%,"32,192",79.97%,"40,255"
Feb-15,"9,678",18.90%,"41,531",81.10%,"51,209"
Mar-15,"12,014",18.89%,"51,592",81.11%,"63,606"
Apr-15,"14,056",18.72%,"61,014",81.28%,"75,070"
May-15,"15,053",17.69%,"70,055",82.31%,"85,108"
Jun-15,"16,711",17.59%,"78,286",82.41%,"94,997"
Jul-15,"18,634",17.92%,"85,369",82.08%,"104,003"
Aug-15,"19,969",17.92%,"91,493",82.08%,"111,462"
Sep-15,"26,138",21.57%,"95,013",78.43%,"121,151"
Oct-15,"31,631",24.12%,"99,513",75.88%,"131,144"
Nov-15,"34,874",25.27%,"103,139",74.73%,"138,013"
Dec-15,"36,948",25.78%,"106,392",74.22%,"143,340"
Jan-16,"40,854",27.14%,"109,684",72.86%,"150,537"
Feb-16,"44,352",28.01%,"113,969",71.99%,"158,321"
Mar-16,"48,944",29.55%,"116,693",70.45%,"165,638"
Apr-16,"50,710",29.44%,"121,544",70.56%,"172,253"
May-16,"52,091",29.30%,"125,718",70.70%,"177,809"
Jun-16,"53,761",29.32%,"129,615",70.68%,"183,377"
Jul-16,"54,393",29.14%,"132,241",70.86%,"186,634"
Aug-16,"55,081",28.97%,"135,057",71.03%,"190,139"
Sep-16,"56,241",28.95%,"138,063",71.05%,"194,304"
Oct-16,"57,957",29.31%,"139,784",70.69%,"197,741"
Nov-16,"59,798",29.50%,"142,936",70.50%,"202,734"
Dec-16,"60,475",29.72%,"143,040",70.28%,"203,516"
Jan-17,"65,195",31.31%,"143,053",68.69%,"208,248"
Feb-17,"67,016",31.53%,"145,563",68.47%,"212,579"
Mar-17,"68,505",31.95%,"145,941",68.05%,"214,446"
Apr-17,"69,256",32.01%,"147,119",67.99%,"216,374"
May-17,"71,813",32.65%,"148,114",67.35%,"219,927"
Jun-17,"74,294",33.37%,"148,337",66.63%,"222,630"
Jul-17,"75,055",33.34%,"150,048",66.66%,"225,103"
Aug-17,"75,794",33.27%,"151,994",66.73%,"227,788"
Sep-17,"77,338",33.43%,"153,976",66.57%,"231,314"
Oct-17,"79,592",33.73%,"156,409",66.27%,"236,000"
Nov-17,"80,471",33.54%,"159,456",66.46%,"239,927"
Dec-17,"80,972",33.64%,"159,715",66.36%,"240,687"
Jan-18,"85,930",35.21%,"158,120",64.79%,"244,050"
Feb-18,"87,980",35.60%,"159,124",64.40%,"247,104"
Mar-18,"90,522",36.29%,"158,929",63.71%,"249,452"
Apr-18,"93,194",36.95%,"159,033",63.05%,"252,228"
May-18,"94,109",37.01%,"160,162",62.99%,"254,272"
Jun-18,"95,025",37.35%,"159,396",62.65%,"254,422"
Jul-18,"96,057",37.53%,"159,889",62.47%,"255,946"
Aug-18,"96,285",37.44%,"160,859",62.56%,"257,144"
Sep-18,"98,073",37.83%,"161,197",62.17%,"259,270"
Oct-18,"98,494",37.77%,"162,253",62.23%,"260,747"
Nov-18,"98,299",37.49%,"163,912",62.51%,"262,211"
Dec-18,"97,840",37.31%,"164,361",62.69%,"262,201"
Jan-19,"97,835",37.33%,"164,255",62.67%,"262,090"
Feb-19,"98,061",37.43%,"163,931",62.57%,"261,992"
Mar-19,"98,231",37.56%,"163,281",62.44%,"261,512"
Apr-19,"98,289",37.57%,"163,313",62.43%,"261,602"
May-19,"98,494",37.54%,"163,876",62.46%,"262,370"
Jun-19,"98,689",37.77%,"162,597",62.23%,"261,286"
Jul-19,"98,455",37.78%,"162,149",62.22%,"260,604"
Aug-19,"98,285",37.65%,"162,783",62.35%,"261,068"
Sep-19,"98,321",37.79%,"161,875",62.21%,"260,196"
Oct-19,"98,488",37.77%,"162,267",62.23%,"260,755"
Nov-19,"99,767",37.91%,"163,436",62.09%,"263,203"
Dec-19,"100,552",38.14%,"163,060",61.86%,"263,612"
Jan-20,"103,465",38.71%,"163,831",61.29%,"267,296"
Feb-20,"105,121",38.84%,"165,509",61.16%,"270,630"
Mar-20,"105,655",38.54%,"168,459",61.46%,"274,114"
Apr-20,"106,348",38.30%,"171,348",61.70%,"277,696"
May-20,"106,500",37.84%,"174,981",62.16%,"281,481"
Jun-20,"107,413",37.99%,"175,353",62.01%,"282,766"
Jul-20,"107,087",37.71%,"176,877",62.29%,"283,964"
Aug-20,"106,569",37.46%,"177,895",62.54%,"284,464"
Sep-20,"107,299",37.41%,"179,553",62.59%,"286,852"
Oct-20,"105,181",36.80%,"180,630",63.20%,"285,811"
Nov-20,"103,742",36.22%,"182,716",63.78%,"286,458"
Dec-20,"103,562",36.02%,"183,983",63.98%,"287,545"
Jan-21,"104,147",36.21%,"183,472",63.79%,"287,619"
Feb-21,"103,970",35.96%,"185,189",64.04%,"289,158"
Mar-21,"104,587",36.14%,"184,838",63.86%,"289,424"
Apr-21,"105,023",36.29%,"184,395",63.71%,"289,418"
May-21,"105,629",36.41%,"184,476",63.59%,"290,104"
Jun-21,"106,182",36.39%,"185,582",63.61%,"291,764"
Jul-21,"107,367",36.55%,"186,409",63.45%,"293,776"
Aug-21,"107,373",36.43%,"187,402",63.57%,"294,775"
Sep-21,"108,055",36.43%,"188,535",63.57%,"296,590"
Oct-21,"108,769",36.55%,"188,829",63.45%,"297,598"
Nov-21,"107,802",36.23%,"189,784",63.77%,"297,586"
Dec-21,"108,454",36.37%,"189,713",63.63%,"298,167"
Jan-22,"108,719",36.93%,"185,688",63.07%,"294,407"
Feb-22,"110,691",37.30%,"186,092",62.70%,"296,783"
Mar-22,"111,510",37.69%,"184,339",62.31%,"295,849"
Apr-22,"111,787",37.65%,"185,137",62.35%,"296,924"
May-22,"114,207",38.05%,"185,964",61.95%,"300,171"
Jun-22,"115,563",38.24%,"186,647",61.76%,"302,210"
Jul-22,"115,641",38.24%,"186,786",61.76%,"302,427"
Aug-22,"115,191",38.19%,"186,449",61.81%,"301,640"
Sep-22,"115,059",38.33%,"185,098",61.67%,"300,157"
Oct-22,"116,518",38.53%,"185,867",61.47%,"302,385"
Nov-22,"117,045",38.69%,"185,437",61.31%,"302,482"
Dec-22,"117,108",38.78%,"184,865",61.22%,"301,973"
Jan-23,"118,666",39.13%,"184,603",60.87%,"303,269"
Feb-23,"117,042",38.67%,"185,635",61.33%,"302,677"
Mar-23,"114,602",38.24%,"185,105",61.76%,"299,707"
Apr-23,"113,540",38.02%,"185,087",61.98%,"298,627"
May-23,"112,929",37.75%,"186,205",62.25%,"299,134"
Jun-23,"111,739",37.66%,"184,934",62.34%,"296,673"
Jul-23,"111,410",37.70%,"184,093",62.30%,"295,503"
Aug-23,"111,410",37.70%,"184,093",62.30%,"295,503"
Sep-23,"110,079",37.70%,"181,913",62.30%,"291,992"
Oct-23,"109,164",37.97%,"178,361",62.03%,"287,525"
Nov-23,"108,767",38.01%,"177,407",61.99%,"286,174"
Dec-23,"108,527",38.00%,"177,093",62.00%,"285,620"
Jan-24,"107,672",38.25%,"173,838",61.75%,"281,510"
Feb-24,"106,581",38.19%,"172,480",61.81%,"279,061"
Mar-24,"105,789",38.54%,"168,710",61.46%,"274,499"
Apr-24,"105,306",38.62%,"167,379",61.38%,"272,685"
May-24,"103,993",38.68%,"164,857",61.32%,"268,850"
Jun-24,"103,328",39.00%,"161,632",61.00%,"264,960"
Jul-24,"102,696",39.14%,"159,707",60.86%,"262,403"
"*at amortised cost, in EUR millions. Previous month's figures subject to revision. Figures reported net of redemptions.",,,,,
Figures may not add up due to rounding.,,,,,
"**Discontinued update of this historical data, as purchases in CBPP3 were halted in July 2023",,,,,
