Breakdown of Public Sector Securities under the PEPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net purchases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Cumulative
Austria,348,1669,2897,2901,2241,1583,1975,1976,1977,1582,1543,1583,1950,2296,2209,2125,2363,1772,1932,1779,1630,491,1449,920,788,59,241,178,-35,154,-457,-160,-511,99,489,431,639,-834,414,272,-1300,291,179,-1205,265,155,159,398,474,238,577,387,-2514,62,196,-2245,230,101,-290,0,0,-1758,0,0,0,0,-91,-2231,0,0,0,0,-1749,35289
Belgium,444,2410,3607,3607,2785,1968,2459,2459,2459,1968,1918,1968,2426,2858,2751,2605,2930,2203,2402,2213,2227,1738,1799,1585,1010,431,-177,283,-278,254,-439,243,-941,158,-537,390,240,284,369,-885,275,288,185,-1206,206,134,542,479,485,484,581,-2448,256,79,135,-1999,154,51,0,0,0,0,0,-4122,0,0,0,0,0,0,0,0,-2025,48727
Cyprus,23,216,242,269,186,126,132,145,145,116,112,102,85,82,78,72,70,56,51,55,55,39,58,71,48,0,-169,0,0,10,8,4,0,6,0,0,0,18,32,20,-176,22,15,26,9,9,2,0,0,0,0,-113,37,12,20,26,23,-161,0,0,0,0,0,0,0,0,0,0,-169,0,0,-169,0,1973
Germany,3118,17534,26097,26074,20192,14237,17796,17795,17776,14253,13878,14238,17531,20705,19913,18852,21202,15934,17375,16016,16115,12575,13365,10537,5834,725,2826,-3262,-11017,-1346,-1713,-36,2587,-3379,3971,-1732,2359,-3501,1026,-1856,2991,-1488,-2783,1419,-599,-1663,1032,-736,427,-1653,200,-2840,668,-3984,-2487,-3211,579,-1988,-4484,-8541,-6435,-6634,-1465,-4986,-418,-5821,-3302,-4654,-781,-1532,-656,-5844,-3651,319273
Estonia,0,0,0,73,90,22,7,0,14,0,5,38,6,2,-3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
Spain,1551,7888,12953,13380,10340,6869,8049,8049,8049,6439,6279,6439,7942,9353,9003,8528,9590,7211,7860,7245,7289,5689,5628,4738,3302,863,-64,263,5651,-307,106,-540,-878,-542,-841,865,1638,461,-2028,522,-3244,903,549,-546,494,390,-1003,1688,1661,-1949,-1301,819,-2064,287,363,-3446,563,87,-3851,0,-8,-3798,0,-2698,-4048,0,-124,-4237,0,0,0,-3600,-52,166670
Finland,198,1177,1857,1820,1405,992,1240,1240,1240,993,942,1018,1227,1401,1425,1313,1467,1127,1210,1116,1091,863,445,491,884,-142,-1122,536,0,-853,-221,475,-648,306,439,-718,654,-503,-192,188,376,-105,-701,547,-290,175,472,-557,-55,-219,152,365,359,-556,-490,-2,-1015,75,0,-1583,0,-236,-611,0,-1052,-551,-828,0,0,0,0,0,0,20053
France,2448,13506,7621,20221,15624,11029,13788,13786,13787,11030,10754,11030,13607,16021,15419,14608,16425,12346,13463,12412,12484,9744,9959,5378,5796,-1310,-1997,-114,-1099,97,1873,-838,852,826,1267,-814,-4140,622,-2556,824,893,1061,587,-296,598,518,2714,-2453,-4384,2528,-3108,1377,28,436,701,683,-5808,315,-215,-3060,-9646,-70,-7638,-40,-67,0,-82,-2885,-6185,-307,0,-8167,-2014,251793
Greece,301,1925,2464,3108,2148,1345,1675,1673,1668,1338,1305,1338,1648,1924,1820,1769,1947,1157,1631,1501,1249,797,1144,743,885,-228,401,-318,1406,-1160,272,131,598,-167,-1680,-72,37,-187,611,-472,301,188,93,600,372,35,95,-45,30,-1063,205,-151,72,-53,-91,15,103,-72,0,-1422,-65,0,0,0,0,0,-35,0,0,0,0,-2196,0,34595
Ireland,205,1119,1676,1676,1295,914,1143,1144,1144,914,892,912,1128,1328,1279,1213,1363,1024,1116,1028,1035,808,975,626,-426,99,201,172,0,82,242,-720,217,40,133,117,-1010,74,101,62,71,82,46,108,59,39,139,121,-1232,122,150,57,71,22,38,49,43,15,0,0,-1930,0,0,0,0,0,0,0,0,0,0,0,0,23411
